(' hours on the phone yesterday really still doesn t pick up status on us air flight ', 'negative'),
(' i will for sure but my tsa pre works with other airlines why is jetblue different ', 'neutral'),
(' i cri', 'neutral'),
(' even years after the earthquake haiti still needs helps in rebuilding ', 'neutral'),
(' punta canato enjoy weather n see my wifes family ', 'neutral'),
(' flight n jb here s looking at blue kid departs @mco enroute to', 'neutral'),
(' hi does my upcoming flight from west palm to hpn have fly fi ', 'neutral'),
(' knew that has to be done at the gate correct if so what time does gate open', 'neutral'),
(' ddddviraltech creates institutional quality machine driven jetblue revenue predictive analytics and forecasts using public big data', 'neutral'),
(' can you do me a huge favor ', 'neutral'),
(' as soon as i cansending my son home with you saturday ', 'neutral'),
(' selfie on the flight from #jfk to #orlando with @supertzar', 'neutral'),
(' are you my friend ', 'neutral'),
(' is there wifi on he plain', 'neutral'),
('pereiracolombia to help the kids from cartago streets and deliver a lot of clothes that i have picked to donate ', 'neutral'),
(' ddddkylecomer_ jetblue relate flightd this timeno but why won t school be cancelled flighted it s very cold out', 'neutral'),
(' wondering if it s possible for my colleague and i to get on an earlier flight laxjfk tomorrow can you help ', 'neutral'),
(' accepting #apple pay mobile enterprise', 'neutral'),
(' hope so looks nice and warm in san juan ', 'neutral'),
(' what are your rules on checked baggage and carry ons from slc to sjo ', 'neutral'),
(' minutes to spare ', 'neutral'),
(' i usually do but i didn t make the flight booking problems this time that ll teach me yea i have that going for me at least haha', 'neutral'),
(' will do i ll tell him you say hey ', 'neutral'),
(' what confirmation number ', 'neutral'),
(' im flying with you from mi boston and then icelandair to iceland hours between can we check our bags all the way ', 'neutral'),
(' the man with the smell left nd now there s this stupid girl asking me questions can yall help ', 'neutral'),
(' it s for mei spoke with a rep on the phone who suggested i voice a concernemail us on your site i did a few moments ago ', 'neutral'),
(' i think i have it selected already ', 'neutral'),
(' port au princehaiti for continued food distributionmedical supplies orphan care', 'neutral'),
(' that wasn t delayed or cabcelled', 'neutral'),
(' i have someone driving meit s best to get a wheelchair once i get inside ', 'neutral'),
(' if you have well priced flights to #oahu we could be best friends @vincenzolandino', 'neutral'),
(' the usa help line i accidentally booked a flight on a thursday instead of a wednesday and want to switch', 'neutral'),
(' call me when you do and well have to hook up ', 'neutral'),
(' finally finally ', 'neutral'),
(' seriouslyi want to work on the jetblue social team @vincenzolandino ', 'neutral'),
(' my wife and i booked last minute flights for a funeral separatelybut we would like seatsgethercan you do this if weconf#s ', 'neutral'),
(' think about it boarding to a chill untz untz untz like this ', 'neutral'),
(' flight n jb blue la la departs @mco enroute to san juan international airport ', 'neutral'),
(' fliers to gain access to wsj content analyst blog nasdaq', 'neutral'),
(' that s rightgamesetmatch ', 'neutral'),
(' i have a disabled seat in row do i get to board earlier ', 'neutral'),
(' flight ', 'neutral'),
(' pittsburgh', 'neutral'),
(' flight jfk to tpa am on saturday one way ticket ', 'neutral'),
(' is it only for mybagbag too full ', 'neutral'),
(' of my tray table is broken what do i do ', 'neutral'),
(' domestic to be cleari do not have to sit in your lovely terminaljust need to be there hour prior to boarding thanks ', 'neutral'),
(' the fact that #chrishasmadeusblush isn t trending is how you know i m loyal', 'neutral'),
(' woof i m on the red carpet', 'neutral'),
(' the man sitting next me at the terminal has a scent tht i cant quite put my finger on pls dnt let him sit by me on the flight ', 'neutral'),
(' becomes first to accept #apple pay futureexperience', 'neutral'),
(' early last monthexpedia there s an extra middle name and initial attached to my last name', 'neutral'),
(' all up to date can t updategoogle play ', 'neutral'),
(' customer of the year', 'neutral'),
(' it was at jfk airport right now', 'neutral'),
(' hello can you tell me if you currently fly to hawaii thanks ', 'neutral'),
(' using jetblue air miles ', 'neutral'),
(' don t i always ', 'neutral'),
(' what about if i booked it through orbitz my email is correctbut there s a middle party ', 'neutral'),
(' using jetblue miles ', 'neutral'),
(' when will the system be up and running ', 'neutral'),
(' anywhere', 'neutral'),
(' to austin', 'neutral'),
(' can i bring a compact folding chair like this in a checked bag', 'neutral'),
(' celebrates year anniversary with new livery digital journal', 'neutral'),
(' promo watch phone at amazon check', 'neutral'),
(' flights and will fly over after am on your way intomind taking ocean approach so we can sleep ', 'neutral'),
(' anywhere warm cause its freezing in nyc', 'neutral'),
(' not blaming jet blue this wasn t weather can t have planes in the air and runways a mess that s a disaster waiting to happen ', 'neutral'),
(' and ask she load the bag for my flight', 'neutral'),
(' to dc this summer and help local youth get ready to return to school with math refresher courses ', 'neutral'),
(' change in the air for travelersinvestors @bloombergnews ', 'neutral'),
(' s ceo battles to appease passengers and wall street', 'neutral'),
(' marksbirthday with blumanity paint job blog', 'neutral'),
(' to end partnership with american express', 'neutral'),
(' @_justdippin_ drops a new video off the upcoming project #thetakeoverproduced by yponthebeatn', 'neutral'),
(' dumps amex nassau news live', 'neutral'),
(' flight ', 'neutral'),
(' bos to dca at pm ', 'neutral'),
(' any idea when the flight will actually take off ', 'neutral'),
(' flight departed phoenix at am', 'neutral'),
(' his name is enzo@setorii well hello there pooch what s your name', 'neutral'),
(' that s pretty nice are flight credits automatically given after the flight i also wish there were a lounge i could sleep in ', 'neutral'),
(' yep it s for tomorrow ', 'neutral'),
(' the whole plane flight from lga to pbi', 'neutral'),
(' i have the emails that they are on their way', 'neutral'),
(' received an invitation to participate in e rewards is this legit from jetblue just double checking bc the site looked different ', 'neutral'),
(' wedits dear @msbgu your mbas need better benefits they should work for us how can we meet them ', 'neutral'),
(' is yr site having trouble for mobile check in ', 'neutral'),
(' sure email screenshot below linkj', 'neutral'),
(' of course i am ', 'neutral'),
(' sent', 'neutral'),
(' there s a large family of birds inside tare they fed are they there for a purpose ', 'neutral'),
(' perhaps you need to start recruiting @msbgu', 'neutral'),
(' s new ceo seeks the right balance to please passengers and wall alaska highway news', 'neutral'),
(' sure thing ', 'neutral'),
(' i have an email that says i have to sign on to the travel bank how do i that ', 'neutral'),
(' works with google #chrome but not internet explorer ', 'neutral'),
(' don t know if u define that as a #controllableirregularity', 'neutral'),
(' if there s a schedule change on my tixcan you change the the destination airport to a sister airport like ewr and jfk ', 'neutral'),
(' i have a reservation for tomorrow morning but trying to get back night bc other flight was going to jfk can i get on list at ctg', 'neutral'),
(' so yesterday a flight i wanted to chicago was on sale within my points range and today it isn t any way you guys can still honor', 'neutral'),
(' @kleinerin hi know a pastor or homeschool mom who might like spirited have em contact me on prefundia', 'neutral'),
(' statement on #lufthansa incentive offer digital journal', 'neutral'),
(' flight ewr to fll', 'neutral'),
(' yesterday s deal ', 'neutral'),
(' i can t call right now my baby just fell asleep ', 'neutral'),
(' any way to get ppl on standby list for flight fll to bos trying to find way home ', 'neutral'),
(' i clear that folder regularly and jetblue is white listed so it never got to me ', 'neutral'),
(' s new ceo seeks the right balance to please passengers and wall daily journal', 'neutral'),
(' stahp our fleet s on fleek', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' agree richard p literally ripped up our tixs in our faces and made rudeinappropriate comments to us and our family awful ', 'neutral'),
(' thanks any idea when it will be resolved i d like to purchase my ticket ', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' thank you for asking ', 'neutral'),
(' hi guysdo you have a general enquires email address please thanks david ', 'neutral'),
(' so it s a bag fee for a golf bag on a domestic flight ', 'neutral'),
(' our fleet s on fleek lmfaooooo hook me up with a flight ', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' formally requests @lbairport and @longbeachcity to establish customs facilities for international flights', 'neutral'),
(' @pdquigley any progress good luckpatrick ', 'neutral'),
(' am i allowed to carry on a suit bag and carry on bag my suit bag will hang like a jacket would it is soft sided ', 'neutral'),
(' our fleet s on fleek lol wut ', 'neutral'),
(' can i bring my dog on board ', 'neutral'),
(' need to get my yr old to nassau from sea to meet her great granny she was named after who just turned ', 'neutral'),
(' so anything found while cleaning the plane in dc would be at the baggage officeeven something small ', 'neutral'),
(' do you have any flights with lie flat seating from stl to pdx on or around the date of march ', 'neutral'),
(' our fleet s on fleek now that is fuckin funny ', 'neutral'),
(' i m looking every day just watching for a deal i have specific dates so fare finder doesn t help me', 'neutral'),
(' airport code test go slc bos mco', 'neutral'),
(' just got the time to reply and share my thoughts in greater detailweb form ', 'neutral'),
(' doesn t take into account the it cost rent a car drive home', 'neutral'),
('rt ddddpeaches oh no unfortunatelythe code must be entered at the time of purchase in order to qualify for the points ', 'neutral'),
(' indeed it was not', 'neutral'),
(' yasssss da fucccour fleet s on fleek', 'neutral'),
(' following you now', 'neutral'),
(' are all of your flights out of charleston tomorrow on time or is there a possibility for delays cancelled flightlations ', 'neutral'),
(' ok is i hope thy the bahamas next', 'neutral'),
(' you guys get rid of the hip hop stations on sirius xm ', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' how do i know if my flight was deemed a dark flight ', 'neutral'),
(' if i apply for ur credit carddo you automatically get the companion certificate or do i have to wait for it ', 'neutral'),
(' is there an additional charge for a golf bag with clubs shoesand golf ballsif that s the only piece of luggage you check ', 'neutral'),
(' what s a good address to send feedback over email ', 'neutral'),
(' bruhour fleet s on fleek ', 'neutral'),
(' ceo battles to appease passengersinvestors toledo blade ', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' challenge accepted first crew members to send pics in the chairs get free tickets to visit us #wager #isitsummeryet', 'neutral'),
(' how can i check that i do not believe i was given a credit for that automatically', 'neutral'),
(' why don t you fly to #nashville', 'neutral'),
(' our fleet s on fleek wtf ', 'neutral'),
(' lolkour fleet s on fleek ', 'neutral'),
(' that s not the case they sent me a email with a linki ll show you ', 'neutral'),
(' plan to repair its brand', 'neutral'),
(' sorry i didn t realize i wasn t following you', 'neutral'),
(' welpour fleet s on fleek', 'neutral'),
(' airways to continue various commercial relationships with #lufthansa ddddcapa_aviation', 'neutral'),
(' is your refund system down ', 'neutral'),
(' and aren t as merged as the marketing departments would have us believe maybeor can get me home ', 'neutral'),
(' if i ask ask the pilot will he tell me the name of our aiecraft', 'neutral'),
(' and i would have been willing to give him the benefit of the doubt and say we misunderstood each other until he went on a', 'neutral'),
(' would a storage container like this green one be acceptable to check in with luggage gal totes', 'neutral'),
(' lord ', 'neutral'),
(' has d c thinking about summer with new nantucket service broadway world', 'neutral'),
(' flight operated by @flyrepublicair n ma arrives atfollowing flight from reagan national', 'neutral'),
(' you don t have to do thisour fleet s on fleek ', 'neutral'),
(' and the from ddddwsj team to offer in access to journal digital journal', 'neutral'),
(' is it your practice to giveclass seats to us air employees before giving them to chairmans customers sitting in coach ', 'neutral'),
(' its domestic i just wanted more of an idea so i don t get surprised ', 'neutral'),
(' let s just say #idontwannalivewithoutyourlovea #itwasminttobe #bestinclasssocial #business', 'neutral'),
(' followplease', 'neutral'),
(' @maatkare we hope you re still our bae haa man', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' at the airport ready to get this red eye going soooooo sleepy #noplacelikehome #eventhoughits degreesathome', 'neutral'),
(' alsocan you explain whywhen i checked inon the us airways site picked standby fori was not put on the list ', 'neutral'),
(' yes slc on ', 'neutral'),
(' it s time for our #brandmance go #upwherewebelongo', 'neutral'),
(' how long ago can a trip have taken place for me to still get credit if i didn t apply my trueblue # when i booked ', 'neutral'),
(' do you have an email ', 'neutral'),
(' no our fleet s on fleek ', 'neutral'),
(' can you help chairman i am on flight phx connect sjc will miss connection can you reroute please ', 'neutral'),
(' when can we start flight booking problems flights for november ', 'neutral'),
(' i did would be nice to see more services out of ddddtriflight instead of having to drive hrs to like charlotte or atlanta', 'neutral'),
(' can you help with a seat assignment people flight phx to hnlseats are split up anything you can do will be great ', 'neutral'),
(' try harder take a winners attitude to your work ', 'neutral'),
(' i m shutting my data off for the flight i want some response by the time i land you have hours ', 'neutral'),
(' our fleet s on fleek lol ', 'neutral'),
(' spent most of the winter in nny with momjetblue will take me home to flbos on mon miss hubbykittieswarm #countingdown ', 'neutral'),
(' oh wow #smour fleet s on fleek ', 'neutral'),
(' #real our fleet s on fleek', 'neutral'),
(' will you please start offering more routes out of ddddtriflight to more locations', 'neutral'),
(' we already won the tickets but she s totally on a beach right now #flightlanding #sunscreen #feelsgood', 'neutral'),
(' or she', 'neutral'),
(' looking for some help to recover an item i left on an airplane this evening', 'neutral'),
(' how does one downgrade a flight ', 'neutral'),
(' have you issued a memphis travel advisory for tomorrow winter weather coming through now ', 'neutral'),
(' quick questionto pay for a second bagdo i have to do it online or can i do it at the airport ', 'neutral'),
(' why lord why our fleet s on fleek ', 'neutral'),
(' hey any chance you have an update on flight hartford to d c ', 'neutral'),
(' we are bringing guitars can we bring them as carry on ', 'neutral'),
(' our fleet s on fleek c mon fam just no ok ', 'neutral'),
(' we d love to help shanese bryant meltona hard working grandmother from dcgo to miami it s on her bucket list', 'neutral'),
(' hi how do i claim points on a flowers order after i purchased i totally forgot to put in the promo code ', 'neutral'),
(' stop this madness our fleet s on fleek', 'neutral'),
(' direct flights to sfo leaving from same airport with and can you please put me on one of those ', 'neutral'),
(' our fleet s on fleek this happened', 'neutral'),
(' no they didn tour fleet s on fleek ', 'neutral'),
(' s ceo battles to appease passengers and wall street ddddthevdt', 'neutral'),
(' hi i flew with your airline once in australia and saw zero kangaroos had this been rectified', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' lolololololour fleet s on fleek', 'neutral'),
(' do you do any discounts for volunteer firefighters ', 'neutral'),
(' alright someone has to stop this our fleet s on fleek', 'neutral'),
(' lmfao ', 'neutral'),
(' welli fly into huntsvilleal but i d take either nashville or birmingham too ', 'neutral'),
(' um wutour fleet s on fleek', 'neutral'),
(' i hope so the plane does appear to be leaving a nearby terminal for our gate ', 'neutral'),
(' thank youbut it says the website is down ', 'neutral'),
(' what s good with a miami terminal ', 'neutral'),
(' guess i ll wait another hrs in hopes rate goes downis more reasonable fingers crossed cutting it close to my travel dates ', 'neutral'),
(' how sway howour fleet s on fleek', 'neutral'),
(' our fleet s on fleek oh word ', 'neutral'),
(' everyone is overreacting keep up your swag ', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' i m referring to email like this just tell people when they get the upgrade otherwisewe know already ', 'neutral'),
(' s ceo battles to appease passengers and wall street waterbury republican american', 'neutral'),
(' 👉🚪rtour fleet s on fleek', 'neutral'),
(' should i be nervous about a sunday am flight baltimore to boston any suggestions on what i can do need to be in boston by monday ', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' listenim not gonna deny this but our fleet s on fleek', 'neutral'),
(' airways hits new week high at jblu sleekmoney', 'neutral'),
(' im just saying change can be amazinglike miami', 'neutral'),
(' any idea when november december travel opens up ', 'neutral'),
(' @weepysweetmonty i heard youre planning on letting people fly in the overhead compartments why would you do that ', 'neutral'),
(' just signed up for trueblue and booked a flight but keep getting an error when i try to link it to my tb account what s the deal ', 'neutral'),
(' |@wmcactionnewsnew airline expected to make its way to mem', 'neutral'),
(' i need to move a reservation due to weather in the middle part of the u s i would like to change departing airport', 'neutral'),
(' shut the door on your way out ', 'neutral'),
(' can someone help me with some travel issues today ', 'neutral'),
(' alright ', 'neutral'),
(' there is nothing on my usair cc at this pointbut the email stated i would be charged thanks for the reply ', 'neutral'),
(' what are your weight restrictions for carry on luggage can find measurements but not weight restrictions tia', 'neutral'),
(' smh our fleet s on fleek', 'neutral'),
(' @bucketobolts same', 'neutral'),
(' taking off now if i don t have a private jet to bora bora by the time i landi m calling oprah ', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' airways corporation nasdaqjblu update says #lufthansa markets bureau', 'neutral'),
(' she just called to say it s a runway clearing problem of all things ', 'neutral'),
(' will all flights out of dfw be cancelled flightled today ', 'neutral'),
(' can you add my ktn to an existing reservation ', 'neutral'),
(' ddddairbusintheus a landing ddddaruba_airport in february of #warmweatherd', 'neutral'),
(' i m supposed to fly through dallas can you help me get a new itinerary ', 'neutral'),
(' ceo s challenge appease passengerswall street the columbian', 'neutral'),
(' has d c thinking about summer with new nantucket service sys con media pr', 'neutral'),
(' i understand thatand when i m attempting to change the information so they are identicalit tells me to call a # ', 'neutral'),
(' my mom always said to never settle if your chips ain t blueyou just won t do ', 'neutral'),
(' our fleet s on fleek r u serious', 'neutral'),
(' i just reserved a flight with my companion certificatewhere do i mail the certificate for verification thx ', 'neutral'),
(' hi i m trying to find a flight to the middle east ', 'neutral'),
(' bag policy says stroller or car seat we need to bring car seats and stroller should i just call for details ', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' ok cool i need to listen to some dre and snoop en route to la that would have been a shame ', 'neutral'),
(' can your people working this contact mei have a project in the works ', 'neutral'),
(' are there any food places open at the jfk t ', 'neutral'),
(' s ceo battles to appease passengers and wall street lake wylie #pilot', 'neutral'),
(' no did not catch his name i am sure jason will know ', 'neutral'),
(' trying to book award travel leaving on red eye sunday night after midnight should i book the date in sunday or monday ', 'neutral'),
(' two rows', 'neutral'),
(' s ceo battles to appease passengers and wall street waterbury republican american', 'neutral'),
(' maybe i ll just go to cleveland instead ', 'neutral'),
(' us waitnow a gate opened back we go goodmaybe we can get off ', 'neutral'),
(' our fleet s on fleek no', 'neutral'),
(' trying to chg ticket for staff member leaving org before she can fly we re a nonprofit can t you make an exception ', 'neutral'),
(' us refuel we ve sat for so long pilot announces where the truck is lookover there to the left actual announcement ', 'neutral'),
(' hi guysdo you have a general enquires email address please thanks david ', 'neutral'),
(' oh i will #disney bound #workhard #playsoon', 'neutral'),
(' i did they said not as of now let s cross fingers it happens before departing', 'neutral'),
(' haour fleet s on fleek', 'neutral'),
(' it s we boarded and we are waiting now to take offhopefully ', 'neutral'),
(' us stated their issues as kept plane on ground to allow connecting passengers from other flight to board fine understand ', 'neutral'),
(' trivia contest to win flight questionand followi ll send you answer to enterddddwsjplus', 'neutral'),
(' when chging flightisit possible to pay the fare difference in dollars when the ticket was bought completelypoint redemption ', 'neutral'),
(' contactfb messagestwitteror text ', 'neutral'),
(' flight i want to book was one day went to purchase next dayprice doubled to inquiring on chance it may go down ', 'neutral'),
(' do your flight schedules to from quintana roomexico reflect their newly adopted time zone change to est ', 'neutral'),
(' noit s weird i picked other cities just to testthose worked not the one i want works on phone thoughso i ll use that ', 'neutral'),
(' maybe you should drive #usairwaysfail', 'neutral'),
(' thanks bae', 'neutral'),
(' has d c thinking about summer with new nantucket service digital journal', 'neutral'),
(' thank you for the apology', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' when are you guys flying it froward in the bahamas ', 'neutral'),
(' our fleet s on fleek let s keep it professional', 'neutral'),
(' @hutchinsjim yesi made the flight and got my workout in too ', 'neutral'),
(' that s what we ve been told however how would this work if you re going overseas bottom line is passengers feel as if there s ', 'neutral'),
(' hi guys are flights and still on time the site and app are both down and i can t check thanks ', 'neutral'),
(' flight of the morningflying with a toddler will the plane be heated to a comfortable temp before boarding starts #itscold ', 'neutral'),
(' omgee #onfleek why why how many people even know what that meanslol ', 'neutral'),
(' i want to enter the family pooling contestit says by on the websitecan i please enter still ', 'neutral'),
(' s ceo battles to appease passengers and wall street waterbury republican american', 'neutral'),
(' hican you attach my aa ff# lxa to reservation e kvmthansk ', 'neutral'),
(' oh yeah our fleet s on fleek', 'neutral'),
(' great operation you guys are running more mechanical issuesand now taping piece of plane together lol ', 'neutral'),
(' and of course that was supposed to say logannot login ', 'neutral'),
(' will you pick up your phone then ', 'neutral'),
(' new marketing songlet us know what you think', 'neutral'),
(' i can t find a good photo of it you got one #goodnight', 'neutral'),
(' who okay d thisour fleet s on fleek', 'neutral'),
(' as requestedhere s selfie somewhere over the rocky s #milehighselfieclub ', 'neutral'),
(' i sent email to customer relations@aa com will this work ', 'neutral'),
(' # phltoslc this is happening now ', 'neutral'),
(' can i get a beer please flight # ', 'neutral'),
(' what s going on in clt ', 'neutral'),
(' hi friend question for you when you have a moment ', 'neutral'),
(' a month ago i had a flight booked but then had to cancelled flight it i m now flight booking problems a separate flight for a different occasion ', 'neutral'),
(' can you notour fleet s on fleek ', 'neutral'),
(' thanks for getting back to me i called that number earlier but no option to leave vm and just rings with busy tone', 'neutral'),
(' pilot says that we are going to take off in minutes so maybe the systems came back online ', 'neutral'),
(' using a jfk sea for summer it will be my first a flight ever no mint to seattlecore config only ', 'neutral'),
(' i believe that the website said i could receive credit for upcoming flights since i cancelled flighted my last one is this true ', 'neutral'),
(' offering special fares to @gopuregrenada @discovergrenada @caribbejan @islandexpert', 'neutral'),
(' noour fleet s on fleek ', 'neutral'),
(' really our fleet s on fleek ', 'neutral'),
(' can i switch my seat for my trip on sunday ', 'neutral'),
(' tell the truth this is a pic of your social media community managers isn t it', 'neutral'),
(' lol the fleet on fleek i see yall ballin new jets on deck ', 'neutral'),
(' our fleet s on fleek lol', 'neutral'),
(' how much for a trip to a warm island ddddsamchampion', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' expedia reserved a ticket for me and more for a usaw flight but only issued they are not responsive thoughts ', 'neutral'),
(' hi i have a travel question could you please follow me so i canyou ', 'neutral'),
(' eta for flight into orlando this morning', 'neutral'),
(' airways receives new coverage from analysts at bank of america jblu the legacy', 'neutral'),
(' is there also a way i can get a printed one for my records i keep them whenever i fly', 'neutral'),
(' i m so ready to see n jb n n jb on my island but on a weekend to capture it', 'neutral'),
(' i need to email customer service for help and a questioncan you please provide the email address ', 'neutral'),
(' #afterall indeed#lovesongfriday #cheesy #sweresomuchfun #brandloveaffair', 'neutral'),
(' i have submitted my request i would appreciate a call byam eastern thank you ', 'neutral'),
(' explain how come i can get a free upgrade on us as an exe plat but not exit row seating w out paying confused', 'neutral'),
(' window exits give it away ', 'neutral'),
(' please have your people hold flight from phoenix to san jose we pulling up to the gate scheduled to depart at ', 'neutral'),
(' hey guys do you have a tail number assigned yet to flight for tomorrow ', 'neutral'),
(' airways hits new month high at jblu wkrb news', 'neutral'),
(' when i check in tomorrow morning for my flight on wens can i automatically add it to passbook ', 'neutral'),
(' hi thereany rough idea of when january flights will be made available ', 'neutral'),
(' { it s all a s right }', 'neutral'),
(' s ceo battles to appease passengers and wall street waterbury republican american', 'neutral'),
(' id suggest proper information dissemination to all staff on a more timelyrelevant schedule to prevent this in the future ', 'neutral'),
(' sorrywe are in philly should ve told you that ', 'neutral'),
(' what s going on with us airways flight why diverted to charlotte ', 'neutral'),
(' just now but no general announcement', 'neutral'),
(' where do i add my aa loyalty number to my jetblue reservation ', 'neutral'),
(' is flt delayed ', 'neutral'),
(' has dc thinking about summer with new nantucket service ddddmarketwatch', 'neutral'),
(' yeswith delta ', 'neutral'),
(' havanacuba to share my love of photography and leave pictures behindas well as to deliver much needed items', 'neutral'),
(' dang pandora does it look like it may get pushed back more or is this likely it ', 'neutral'),
(' x__x our fleet s on fleek', 'neutral'),
(' i was returning from @foodnetwork #sobewff so i had limited carry on space in my tummy next flight i ll try that snack ', 'neutral'),
(' yup he said there would be flight change fee but the plane should be here in minutes apparently ', 'neutral'),
(' so any ideas when the it geeks will plug in the servers so can be on its way to phx ', 'neutral'),
(' to portland maine', 'neutral'),
(' or how about away lax nyc area under is this possible ', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' our fleet s on fleek really jet blue lmao', 'neutral'),
(' my tweet gets me a response to email dmsc com', 'neutral'),
(' sorry for my misunderstanding of the termbut what does that exactly mean ', 'neutral'),
(' sent ', 'neutral'),
(' looking to for low rates bos to vegas in late flight june for kids and myself for a sporting event any deals or breaks', 'neutral'),
(' will i be compensated for delays or cancelled flightlation ', 'neutral'),
(' any update on the computer outtage affecting flights is this national or just northeast eta on resolution ', 'neutral'),
(' does ddddaircanada not take fraud as seriously ', 'neutral'),
(' thanks for the help', 'neutral'),
(' tell me more because i need a way to nycand i might choose you ', 'neutral'),
(' i am a uk citizen is there a uk number i could try ', 'neutral'),
(' ddddhanneslohmann cool', 'neutral'),
(' and the from ddddwsj team to offer in access to journal digital journal', 'neutral'),
(' i look forward to getting this resolved i will be in touch ', 'neutral'),
(' you haven t got me just yet can a way lax nyc cost me under ', 'neutral'),
(' on the brink of bankruptcyour fleet s on fleek ', 'neutral'),
(' ddddcflanagian she s on to something', 'neutral'),
(' thank you ', 'neutral'),
(' block me bike our fleet s on fleek', 'neutral'),
(' awww man but i need to buy this ticket today and be home theof march where do i go for this or can you assist me ', 'neutral'),
(' which type plane is flt from bos to rsw ', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' look what i capture at uvf', 'neutral'),
(' and the from ddddwsj team to offer in access to journal nassau news live', 'neutral'),
(' short stop at jfk before iad', 'neutral'),
(' but i bougth mc caren to jfk with same agency and delta airways delta refund money but usairways doesnt accept to refund', 'neutral'),
(' thank u i wiil write after call travel agency', 'neutral'),
(' i have more flights that i d love to redeem for some points but they re a little over a year old is there a historical limit ', 'neutral'),
(' you know what our fleet s on fleek ', 'neutral'),
(' please explain our fleet s on fleek ', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' thanks so i ll like to get the new tail n jb n jb boston red sox livery so i can share with talk but send them only on weekends', 'neutral'),
(' saving my sanity leaving it behind for sunshine #escape #fl #bliss#indenial #whatfrozenpipes', 'neutral'),
(' our fleet s on fleek ', 'neutral'),
(' probably not anymore ', 'neutral'),
(' the help complaint forms on the website can be used only if the matter applies to an actual ticketed flight', 'neutral'),
(' with kids and days doesn t work and it s months in advance', 'neutral'),
(' also my party { me and my sister and mom} are on three separate reservations will tsa lets us go through together or alone ', 'neutral'),
(' cancelled flightled the last part of a ticket and am confused from the email i received whether value remains is there someone i can ask ', 'neutral'),
(' our non profit arc would love tickets as we rely on airlines for extractions in saving abducted children and returning them home ', 'neutral'),
(' while im asking of my non upgraded flightsattendants camegreeted methanked me for my business b c i was exec plat ', 'neutral'),
(' i have a question i need to talk to someone by email can you give me your email address thanks ', 'neutral'),
(' why bro', 'neutral'),
(' what is the mosiac ', 'neutral'),
(' s ceo #pilots among ardent fanswall street poughkeepsie journal ', 'neutral'),
(' @vincesviews there are significant number of folks on connecting to a few minutes hold would make many happy', 'neutral'),
(' too late flight our fleet s on fleek ', 'neutral'),
(' here we go again round trip to ca in a week #trueblue ', 'neutral'),
(' washington dc ', 'neutral'),
(' can you provide me with info about checking strollers and car seats costs restrictions need to bring seats stroller ', 'neutral'),
(' jetblue reading the nytimesour fleet s on fleek ', 'neutral'),
(' who did thisour fleet s on fleek ', 'neutral'),
(' @gregwallace yeathey will give you cents on the dollar ', 'neutral'),
(' our fleet s on fleek wow', 'neutral'),
(' and ddddwsj team up offering in flight access to journal content', 'neutral'),
(' flight n jb jblu arrives atfollowing flight from westchester county airport ', 'neutral'),
(' flight from jfk to buf ', 'neutral'),
(' can you followso i canyou ', 'neutral'),
(' do you know what flight the pilots for are coming in on thanks ', 'neutral'),
(' well mine sure aren t anything to write home about ', 'neutral'),
(' well i m not sure i m that bold lol or are you saying you didn t believe me p', 'neutral'),
(' planes in #grandcayman', 'neutral'),
(' our fleet s on fleek', 'neutral'),
(' now ur asking for the heavy guns you know #iwoulddoanythingforlovel #brandmance #lovesongfriday', 'neutral'),
(' peak #caucasityour fleet s on fleek', 'neutral'),
(' our fleet s on fleek why', 'neutral'),
(' i hate the internet lol', 'neutral'),
(' welllllll our fleet s on fleek', 'neutral'),
(' our fleet s on fleek lmaoooo ', 'neutral'),
(' now out of a gates and into main terminal @ dca @natca members keeping watch from atct', 'neutral'),
(' any idea when flight to miami will leave for a second time ', 'neutral'),
(' i am good i just did not understand the terminology but the merger brings new verbiage', 'neutral'),
(' i have received two reservation check ins for two different flights for my one flight tomorrow morning need assistance asap', 'neutral'),
(' why we can t have nice things our fleet s on fleek', 'neutral'),
(' what happens to frequent flyer miles earned once merger is complete with aa ', 'neutral'),
('our fleet s on fleek', 'neutral'),
(' our fleet s on fleek @jameskraw see ', 'neutral'),
(' a little vino wouldn t hurt ', 'neutral'),
(' our fleet s on fleek i have to refrain what i want to say', 'neutral'),
(' but why our fleet s on fleek', 'neutral'),
