Classification, Text
negative, my flight to kc has been cancelled flighted and the next available isn t till tuesday what am i supposed to do for nights 
negative, has the absolute worst customer service when trying to reach them by phone 
negative, on hold for mins anyone hv a connection at sw or at another airline to get from chi n columbus to ewr in am 
negative, coming up onhrs onstill haven t spoken to a rep 
negative, my son s flight was cancelled flightled today i was on hold hours to no avail can you help me rebook 
negative, flight atl to lga cancelled flightled any suggestions how to get home 
negative, is flight omaden on actually cancelled flightled been on hold for over an hour and your website says conflicting messages
negative, hi i just got a message that part of my flights is cancelled flightled i can t rebook online and nobody answers my phone call help me
negative, sev ppl im my office received an apology andk ff miles for this delayonly apologize to select ppl i got nothing 
negative, yestotal of hours on hold with all the cancelled flightlationsone would think there would be more staff decided to cx and drive 
negative, don t you think ahr wait time to speak to an actual agent is ridiculous my flight was cancelled flightled this morning #getyourlife
negative, wounded vets stuck hv trouble with agent help on hold and no answer on twitter pls respond
negative, # manchester bwi being delayed for one idiot who isn t on the plane we ve waited hours for our window and may miss it
negative, hv wounded vet stuck in chi he s traveling to ny healing need fly ny late flightst am by catch intl flt help 
positive, i just wanna say you re incredible for sending people to see their idols sooooo kind and amazing💖 
negative, flights cancelled flightled today now we have been on hold for over an hour 
negative, really this is getting worse as the day goes on late flight leaving then had to be divertedand now sitting on the tarmac in va 
negative, @callmestanleyand bring back the agent will call you back feature why was that ever discontinued 
positive, thank you i left my ipad on a planefilled out a lost and found form yall found it and shipped it back thank you #flysw 
neutral, hican you please tell me why today s flights from chicago to dia were cancelled flightled thanks 
negative, any particular reason it s minutes and counting to speak to a human being 
negative, standing in las vegas and our flight says on timebut reps are telling us that all flights to denver are cancelled flightled help 
neutral, and have cancelled flightled flights after pm today due to winter storm travelers urged to contact carrier for info 
negative, is there any estimate on when the holding for you online will end i m at an hour and forty minutes now i need to rebook 
negative, sitting in baltimore finish taxi and approved to takeoff oopsnot enough fuel #minflight #been hours 
positive, sent your waythanks for the help 
neutral, any chance there s a few seats open from den to dal this afternoon 
negative, the wait for the bags is longer than the actual flight 
negative, sure waswithlooks like i ll make my birthday celebration after all 
negative, where the heck are the bags for chicago it has been an hour
neutral, departing mdw it s cold fwindy with snow on the ground for sunny and f las vegas @lasairport 
neutral, can u follow so i cana confirmation number i need confirmed to cancelled flight i will call to confirm monday for refund
negative, no told to call cust service on monday
negative, why are the ticketing lines in las vegas so unorganized mass craziness half of the ticketing stations unmanned 
neutral, i actually could use a slight tweak to my return not leaving here now til mondayany way i can skip calling for that 
negative, fl cancelled flightled from dallas to austin no one answering # need help 
negative, been on hold for min trying to rebook my flight you cancelled flightled help 
negative, y all just cancelled flightled the flight i rebooked afterwas cancelled flightled help i need to be in nyc schedule more flights tomorrow 
neutral, microsecond too late flight so very very sad 
negative, my wife is trying to get a group of clients to their destination and just got disconnected afterhours holding help 
neutral, could u put one here in baltimore
negative, very confusing to receive your trip is around the corner email when i already cancelled flightled the flight 
positive, y all are fast we already have our winners congrats 
neutral, have five people shown up yet
positive, left my computer on the plane two weeks late flightr they found it and sent it to me #greatservice #happy #customer
neutral, fortunately didn t have to the flight took off on time 
negative, placed on hold for total of two hours today after flight was cancelled flightled online option not available what to do 
neutral, no thanks
negative, i ve been on hold for the last hours no progress #pleasehelp #stranded #whenitsnowsitpours #tgcyalate flightr
positive, that s an awesome library 
negative, answered right away for a new resbut can t rebook the people that were supposed to leave today worst customer service 
negative, horrible flight 
neutral, flight hou to mdw aboard a boeing boarded for an on timepm departure#fb 
negative, @ lax is almost a mess for some reason the express bag drop is slower than the full service line
neutral, any way that i can get a receipt for a cancelled flightled portion of a roundtrip flight used the flight voucher just need receipt 
neutral, can i do the same thing as changing a ticket by cancelled flighting my current ticketbuying a replacement online 
negative, how to i rebook on line when it keeps telling me that it s a reserv number for a past date this morning holding forhrs 
negative, been on hold over minutes you can flybut not answer the phone 
positive, thanks so much just had to make a cancelled flightlation i ve sent u the info 
neutral, thanks what s your opinion on chances of getting in okay tomorrow 
negative, i fly back to omaha for my grandmothers funeralyou cancelled flight my return flight and dont bother to notify me thanks a lot 
negative, you just cancelled flightled my flight home so you better get me a private jet or something i need to get home now
negative, since when did it become ok for a passenger to save rows of seats for people with a late flightr boarding position how rude 
negative, can you provide direct assistance my colleague and i cannot re book b c the ticket was bookeda corporate account 
neutral, flying back to denver tomorrow should i rebook 
negative, flight just cancelled flighted can you help me rebook 
neutral, can you follow me so i can send the
neutral, i never got my flight confirmation i ve been on hold for an hour and i can t get info online what am i to do 
neutral, follow for aplease need to confirm a cancelled flighted reservation
negative, he is going to file a formal complaintthis should have never happened please direct us to the right department 
negative, i am trying to change a ticket for travel on monday that cannot be changed online anyway faster than waiting on hold #anhour
negative, have a prompt for consumers for prompt for customer service instead of having customers on hold for hrs
negative, 😅 you won t let me change my reservation online so now i m just wasting my time
negative, hire more customer service agents and hour and a half is too long to hold
positive, sent thanks for the help 
negative, been on hold for an over an hour now when can we expect some customer service
negative, i m upset because we were lied to was told ice on runwaybut every other carrier was able to fly airport confirmed no ice 
positive, @bgr luv swa myself and my employees use you always 
negative, what do you call that 
neutral, now flight is book and i have to fly standby if they will allow me to check in before the flight takes off
negative, my husband is responding to him and he insist to remove him from the seat btw signs are in both english and spanish 
negative, the agents werenot helpful told me i would have to paychng even though i tld them goingbwi whch is part of trvl advsry
neutral, can you follow and we ll proceed 
negative, because according to the flight attendant my husband doesn t talk englishwhen the fact is that he understand and talks it 
negative, bad enough that there is no seat assigned he s seating at an exit seat and a male flight attendant removes him from there
neutral, there s a current cancelled flightlation in indianapolismy girlfriend is stranded any ideasor help you can provide 
negative, my husband a first time flyer with you has had the worst experience on board a aircraft just a few minutes ago 
negative, thx i managed to figure it out by trying diff confirmation as i booked just annoying it s not readily available 
negative, leg of trip cancelled flightled been on hold hrs will we lose our if we don t speak to someone before first flight leaves 
negative, i ve been on hold almost an hour i luv y all but #imjustsaying 
negative, i love you guysbut even comcast has a better phone help system a simple callback system would fix most of the problem 
negative, is really gonna hear my mouth about this bag situation 
negative, you guys need better communication to your customers this is rude and unprofessional 
negative, i wrote to your customer support on monday re a cancelled flighted flight but haven t heard back any idea what s up thanks 
neutral, any official word whether flight from bwi to manchester is cancelled flightled i ve got anhr drive in snow if it is 
negative, received an error online and have been on hold for over hours completely unacceptable 
neutral, free cable out of this world technology and a mans dream come true free and portable
positive, is the best case and pointx @ryand #happybirthday
positive, incredible view i had a smooth flight both ways even tho there was turbulence your pilots rock
neutral, k thanks
negative, when you take my money and do not provide a service makes for a profitable venture for your company #isitthegarykellyway 
neutral, when does today s scavenger hunt start i m trying to help my little brother win 
neutral, it s never too late flight to do the right thing
negative, same here would appreciate a follow so i canmy info to figure out what i am supposed to do 
negative, trying to get anyone on phone flt cancelled flighted please get me to denver 
neutral, id you
negative, trying to rebook flight on hold for mins before disconnected and now almost mins unbelievable
negative, you guys are just being disrespectful at this point learned my lesson about this airline
negative, been on hold for mins to cancelled flight my reservation can you assist 
negative, pls help on hold long time now travelling business and flight orf from mci was cancelled flightled need to get out there asap 
neutral, greetings
positive, thank u thank u thank u for coming through for us i sincerely didn t think it would happen#swa 
negative, on hold over hrs and got cutoff cancelled flightled my flightnow can t get to booked cruise in florida terrible customer service 
negative, i ve been on hold for over an hour and countingjust need a simple name change
negative, lost kay chapman designs art luggage for important show won t help locate it terrible customer service 
negative, been on hold for over an hour to speak to a customer service rep what the heck #southwest 
negative, are any flights leaving dc today flight was cancelled flightledbeen on hold for over an hour 
negative, you can do better than having someone on hold for over an hr
negative, we have been waiting for almost hours trying to rebook flights please help us get through to someone 
positive, flight bna rdu had the most excellent crew today 
negative, i called and they solved the flight cancelled flightlation issue in minutes may be ask them how to do it #getmorehands
positive, never felt better taken care of indian aunties are the gold standard thanks aruna
negative, i m stuck in fort lauderdale 
negative, hours on hold trying to reschedule cancelled flightled flight hold music stoppedbut no one s answering how can i reach a rep 
negative, i thought you guys were the best airline i ve been on hold for an hour 
positive, @southwestoliver that s a great fa right there 
positive, sent thank you 
negative, had to pay a fare difference on a change but can t seem to find the receipt for it how can i get a copy for reimbursement
negative, can t speak with customer service forhoursstill on hold do you guys work 
negative, seriouslyis the reason for all the cancelled flightled flights and long phone wait times that you guys are tremendously understaffed 
negative, very frustrated saw seats avail online for pref alt flightunable to book onlinelost those seats during hr phone hold 
neutral, let us know if we can help
neutral, would love tix for velour show entered every contest and still haven t won
negative, on hold waiting to make special accommodations for my mom who is traveling hour and minutes on hold unacceptable 
positive, what a great first night 
positive, finally through thx
negative, this is ridiculous it s been hours on hold to rebook cancelled flightled flight 
negative, hi janet in customer service i m calling you back and have been sitting in que for mins plz pick it up 
negative, i thank you for the reply but too complicated to really would like to talk to a cust rep what is going on there 
negative, can tyou because you don t follow me 
negative, yes i figured an hour was a long enough time to hold before giving up can somebody call me 
negative, been on hold forever my first flight was cancelled flightled but myflight is still on time help 
positive, hello #southwestair i m happy to be flying with you this morning dal mdw # looking forward to a comfortable fight
negative, is anyone answering phones to rebook cancelled flightled flights 
positive, your attendants at the atl airport are awesome very helpful with all the cancelled flightlations this morning 
negative, customer svc worse than the flight cancelled flightedwebsite malfunctionon hold for 
positive, flt crew #orangecounty to #denver is the #best weather delay but pilots just invited the kids to see the cockpit #luv
negative, i will never choose over you again #getmeoffthisbird
positive, had an amazing experience with your staff at dia last night i was blown away by their hospitality with my wife on crutches
negative, been on hold now for hour minutes with cust service can you help 
negative, too long to wait for bags when they could have been on the next flight out the party of could have waited in albany
negative, where are our pilots plane is here flight says it s still on timebut we should of been off the ground minutes ago 
positive, had a great trip this past week to vegas for work and had this pic over the southwest on southwest
negative, i get that weather delays are not in your handsbut is there nothing else you can offer for the massive inconvenience 
negative, answered my options are a refund or a resched for monday i d miss work so i m paying hundreds for a flight tmw 
negative, on hold for over an hour twice terrible 
negative, my flight is cancelled flightled due to weather what next 
negative, crazy hold times today over an hour now help 
negative, been on hold forhrs can t get airport flight icy country backroads help pls #bna
negative, stl bos flight today was cancelled flightled online resched form gives an error on hold for past min help #terribleservice
neutral, how can we get refund instead of credit for flight that you cancelled flightled we couldn t switch to a flight tomorrow 
negative, been on hold forhrs can t get airport flight icy country backroads help pls can a human answer #bna
negative, been on hold for over an hour any chance someone can help me on here 
negative, so u cancelled flight our flight to phx bc of sdf weather but flights the ne from sdf are still going on wtf
neutral, show jacksonville some too we want # ticketsforjax 
negative, cancelled flightled my flight without explanation and won t pick up the phone minutes and counting @olive 
neutral, plz consider customers you re losing to #aa forthe kc okc directs 
positive, so glad u guys do business wmore class than ur competitors 
positive, thanks the great servicestaffletting me change my flight times for free pvd to the skies for me always on swa 
negative, my wife has now been on hold for minutes i get weather is badbut this is insane #customerloyalty 
negative, i ve been on hold for hours when will you answer 
negative, i needed refund on my cancelled flightled flights this morning and had been on hold for more than an hour x what to do 
negative, thanks for the cancelled flightation today only airline that s cancelled flighted lost a customer today 
negative, cancelled flightling flights due to winter weather is totally understandablebut it would sure be nice if you would answer your phones 
neutral, can i book a flight on my own and get reimbursed by you 
negative, i ve been on hold for hrs nowwaiting to talk to someone with a pulse to get my cancelled flighted flight rescheduled is this sop 
negative, been on hold to rebook a flight to cmh for hrs your rebook website is crashed 
negative, been on hold so long to rebook my cancelled flightled flight i had enough time to rebook with instead lots of room there 
neutral, are we sure flights will not be cancelled flighted after i am trying to make plans in stl
positive, great flight and great view
negative, have been on hold to reschedule a flight for hours please help phone will be out of batteries soon 
negative, minutes still haven t talked to one person #shocking phone is gonna died before i talk to anyone
neutral, flight n wn taxis atprior to flight to
negative, at fort launder dale and the gate agent can t switch flights to an earlier flight but we can on our phone ridiculous
negative, so why is every single flight out of @portcolumbuscmh cancelled flightled for only your airline 
negative, cancelled flightled my flight won t refund me and told me call customer service n been holding for minutes still waitin 
negative, i m going to need you to answer your phones being on hold for an hour isn t okay 
negative, almost an hour on hold for swa is inexcusable #hiremorepeople
positive, is my favorite airline i can t wait to book my flight to new orleans for my trip in april 
negative, suggestions tell customers approximate wait times when they are on hold min now and allow them to cancelled flight online 
negative, thanks for not telling us our flight was cancelled flightlednot helping us in anyway and ruining my birthday #worstcustomerservice 
negative, how is tkt in the a grp for a cxld flight gets stuck at the back of the cs when your sitephone and agents tookh to rebook 
positive, loving the boarding to go to chicago #keepitmovin 
neutral, flt out of mht have fun with my kids and grandkids of them jack says hi
negative, jumped the gun a little cancelled flighting our flights no other airline is cancelled flighting out of louisville you re ruining my vacation 
negative, apologies help would have been nice had supvsr sally in cle offered one not usual grsouthwest customer service i love
negative, on hold for two hours and it timed out on me great system you got there 
negative, rocks horror
negative, any plans to implement a call back system on your reflight booking problems line been on hold for over an hour now 
negative, there s nothing i love more than being on hold for over an hour
neutral, scavenger hunt rules
negative, app error says click herecan t click not hyperlinked
negative, i need your help but no one will pick up the phone 
negative, anyone answering phone this morning at iflyswa on hold minutes and counting 
neutral, we are trying to go as far away from king scollegelondon as possible for charity today would you help us #jailbreak #rag
negative, were you handing out tickets while i was sleep 
neutral, dal is due for sleet sun eve didn t see it listed for cities that can re book fly to dca at 
positive, had a great la flight with clarence and frank those guys are a hootthanks
negative, why did i not receive drink coupons with points but all my friends did 
neutral, absolutely required are the flights going to becancelled flighted 
neutral, i have a flight on sunday the to columbus from denver i just got a travel alert on my southwest app is the rescheduling
neutral, do you have childrens rates for flights 
negative, how often are airplane seats tray tables cleaned and sanitized rather have air purifier and clean seats than #wifi 😷
negative, i lost my luggage my birthday wish is to find my luggage 
neutral, if you d love to see more girls get inspired about becoming pilots our free albuquerque event
neutral, at troubadour with
neutral, hey therecan you follow us so we canyou a question 
negative, got a text my flight was cancelled flightled now what do i do help please 
negative, been sitting outside our gate for mins at lga why no move to another gate we e baking on this plane flight # 
negative, grand total from landing to getting bag one hour that s very sad 
negative, your staff was really kind about the flight delay luggage not at all very disappointing 
positive, hey southwest i wanna go to seeyou guys are a lot better then jet blue 
negative, landed an hour late flight from ind to denand min late flightrour bags are not here not cool 
positive, hey sourhwest can you send me to atlanta to seei will fly southwest forever u guys are the best airline 
negative, horrible experience ever with airline have to reconsider any future flights customer service
neutral, salted or honey roasted i vote to bring back the salted peanuts i dread a year of the honey roasted 
neutral, did swa send out customer surveys to earn toward flights is this legit 
neutral, @tifffyhuang i met my twitter friend waiting outside the troubadour 
neutral, do you still offer discounts on seats for children under we would rather put him in a seat than in a lap 
negative, wanting a ⭐️ for thefinding the gate no apology or exp all goodi m sure connecting flight leaving sac will be chill 
negative, sucks passengers leaving the plane to make room luggagechecking luggage and getting back on delayed flights to same city 
negative, cool the plane you said is ours that just left the terminal for a diff city she a cold betch for flying the friendly skies 
neutral, it was 
negative, flight to san diego is delayed per usual take me home 
neutral, how do i find travel funds i have available to use fpast changed flights don t see an option in my account 
positive, @fortunemagazine 
great news 
positive, is making dreams come true with theirscavenger hunt you can win a chance to see imagine dragons go 
neutral, my father was kind enough to offer to pay for a hotelbut i can t use this coupon if he pays from fl no help 
negative, every other city on your nationwide sale has fabulous fares why nothing from buffalo except for cities 
negative, i have a voucher w swa that expires an extension would be a lot of luv
positive, well plane arrived pretty much on time and it s degrees on the ground in texas not much to complain about 
negative, not sure why we are still here in dallas plane has been at gate for min no update at all flight poor service 
negative, loved one s flight atl to ind cancelled flightled due to ice in indy sitting here in indyit is bone dry tomorrow of snow 
positive, all s well i got comped with multiple other bags which just made my day
positive, thanks for the ride to chicago #kmdw #b 
neutral, booked thesave me an emergency exit gotta stretch out
negative, i m in line at the airport right now will you cover hotel fair or am i to sleep in the airport 
positive, @jasonwhitely flt emer stop in albuquer for a heart conditioncrew was awesomepilot was maverick on the divert 
positive, thanks so much appreciate your kindness in adjusting our reservation even during snowstormsi still prefer southwest
negative, cancelled flightled my flight and i m stranded in st louis not sure what to do no other flight until tomorrow am i to sleep in airpt
neutral, i think that flight was supposed to go to houston as wellin case someone could check that 
negative, stuck on the runwayagain delayed on wednesday not a good way to take care of your loyal customers 
positive, you guys held our flight # thank you about to take off from mdw now to oakland thanks
positive, first time flying with you you ve definitely won me over 
negative, we re doing our best sitting at a gate waiting while not being given information why we re delayed isn t making this easy
positive, rocks open letter to flight attendant my child was inspired thank you 
positive, luved the sjc gate agent this am who boarded flight to dal didn t get his name he represents your brand so well 
positive, thanks for an awesome flight and connection we were delayed but your staff and crew were purely amazing 
positive, great flight got us back on time thanks
neutral, mph winds and would do anything to be in florida right now help a sister out 
neutral, @swagglikebean take me here
neutral, my son is flying south west from nola orlandohope to enter for him to win this contest
positive, thx for smooth landing today @fly midwaywe applauded now what can u do abt the weather #takemeback 
positive, not frustratedjust an idea great crew thanks #happycustomer 
neutral, no her lunch was over by the time she got her call answered
negative, my parents flight frm stl atl cancelled flightednite when s the next one out 
negative, well my mom called earlier and you guys had her on hold for close to an hour
negative, there s an hour wait here for reflight booking problems in line at omaha 
negative, it says i can t because my flight is in progress 
negative, can you help me with reflight booking problems my flight was cancelled flighted fwhei 
negative, alist pref doesn t do any good if direct to atl is always wifiless flight 
negative, is that the same reliable system couldn t find my info and then said it refund my credit card 
negative, hours sorry don t get it oh well screw the weekend in az right eat the hotelno problem 
positive, we had early birdand it was great your employees were awesome it was passengers who killed the buzz 
negative, i am absolutely sick of s and no wifi 
negative, when will airfare be available through december of this year i have major trips coming up and i m anxious to book them 
positive, ahah🎵 that is why
i love sw✈❗ ^^
neutral, is the contest over for destination dragons i want to try to do everything i can to go 
positive, you are lucky to have people like annamarie and norris at bwi i hope they get recognized for excellent cust service
neutral, so the upcoming rr changes deval is trying to tell me not to fly southwest anymore because i am loyal so far i get it 
neutral, travelingbwi nmarylandmorrw any chance the flight being cancelled flightled to inclement weather any chance can get earlier flight
negative, @dultch kid just wants fucking money #scumbag
positive, i wish i would ve seen this hours ago i wanted to see them tonight so bad #crying
neutral, just do it that easy
positive, i ll have to drop by next time i visit 
positive, @sacintlairport feels like a good day to fly thanks for the ontime departure to sna#bestinclass # ft #takemehome
positive, great trip on yesterday outstanding flight attendants
neutral, how can customers get in touch with you internationally from mexico for lost baggage
neutral, rndtrp @djq_kc@djimpact if you re trying to make travel reservations for vegas on mayit s too late flight 
positive, i m on the flight everyone has been so nice and helpful i m just hoping we ll get to fly out thank you
negative, @dultch that s horse radish 🐴
negative, thanks more concerned about the conflicting texts i was receiving my about my flight having to drive hours now 
positive, thank you 
positive, thank you see u next wednesday in fll save me some peanuts
neutral, how s life @ the noc 
neutral, i will tell marry a lamp if you give me tickets to the vegas show please i am desperate
neutral, are there any current promotions codes for nashville denver thank you 
neutral, #promotion fly roundtrip  to and frombetween and and get a companion pass for the year 
positive, so happy that you can finally put your boarding pass into passbook makes life so much easier 
positive, i will do just about anything to go to the vegas show please man
negative, here we go again delayed in chicago why offer the flight if you never intend to fly it
neutral, omg omg omg i just did 
negative, @julgoodshe was traveling with me the one that got miscommunicated with
negative, wtfmy flight was delayed and then i go to board and my boarding pass has disappeared from the southwest app 
neutral, tweet just popped up on my phone with @amin_aur follows missing my favorite southwest pilot and brother 
neutral, do you have special fares for students to visit prospective schools it s expensive to visit graduate programs 
neutral, i would be eternally grateful for tickets to the vegas show ͡° ͜ʖ ͡° god bless
negative, baggage woman said it was in blatimore and would be on a plane this morning now they can t find it wtf 
negative, doesn t work on my flight just fyi 
neutral, please help i would die to see the vegas show it would be amazing to hear their songs for real 
neutral, i need imagine dragons like i need air please hoom me up for the vegas show ͡° ͜ʖ ͡° 
neutral, i am committed okay please hook me up for 
negative, i would die if i got tickets toand you would be invited to my funeral
negative, = easy and pleasant = difficult and stressful learned my lesson 
neutral, i would sell my nonexistent soul to go see 
neutral, @theellenshowthis job interferes w ellen showconcerts will alway treasure my @liveatfirefly experience 
positive, got it taken care of thank you 
negative, not sure i can trust a statement with that many small numbers above words
neutral, has posted flight schedule covering the date range of @_defcon_ 
negative, late flightly you ve always been late flight please get back to the old #swa 
negative, totally sucks that my flights were weathered out of existencebut stacy in tucson helped with an overnight in vegas 
negative, are you guys alive i ve been on hold for minutes and counting 
negative, gary kelly should be ashamed of himself running a corporation in this way
negative, you guys just rip me off if i could cancelled flight every flight i had booked for my employees i would buyer beware
negative, not if its travel credit you used to buy and it expires on the day you find a lower rate
positive, please acknowledge attendant jeff wernicke beat in class and service on sw
neutral, lacma on fairfax 
negative, just want the money i paid for early bird refunded noone seemed to be able at three different sw should have that worked out
negative, i filled in the form on the website too darn it all i guess i ll just have to cross my fingers 
positive, thank you so much for access totonight at @thetroubadour cryingdying rn #ripme
positive, so excited about our last minute trip to @disneyland and she doesn t know yet
neutral, aren t you based in chicago why are you doing a hunt in la and not your home city please bring one home
negative, heyo what is causing flight ewr to hou to be delayed 
neutral, when will you have flight from dal to pvd 
negative, your wifi stinks i m not madbut i wouldn t hate it if i got my money refunded 
negative, cancelled flights arrivalsdepartures in nashville as ofpm that and more weather headlines @pm #liveonfox #februaryfreezefox
neutral, any spare tickets for vegas would be forever grateful 
neutral, @theellenshowif only that was me
positive, thank you so much
neutral, any chance they will change this to include northeast airports jetblue has 
negative, i was on hold for minutesno one knows how to win these tickets that you re still handing out 
negative, after minutes on the phone i m given another number to call now still on hold with them
neutral, please can i have the last tickets for me and my best friend to 
positive, rules 
negative, no one i call knows anything about it so i m just wondering how to get any 
neutral, i saw ppl were winning tickets stillhow do we win some 
negative, okaaaaay ugh im min away
neutral, go @franks go 
neutral, please please please
negative, yesbut i like need my luggage before tomorrow morning 
neutral, min away 
negative, doesn t care nor does sna agent jacquie plittrude gal bad attitude had fly cabo thx 
positive, happilyflight was not delayed when a cockpit visit blew my four yr old s mind thankscap n 
negative, needs make me whole used my tkt back n phx due rude sna agent jacquie plitt flew cabo
neutral, mins
neutral, is there a route to flight from mexico city to chicago midway using your services 
positive, flight only an hour long but one of the best flights i ve ever had kudos to flight crew and airline in general 
neutral, how many are left 
negative, swa agent jacquie plitt @orangecounty sna rudely tells me you re not going cabo today or manana back phx flew 
positive, thanks for being so good to us #military folk it s cold in #stlouis but i sure enjoyed my flight 
negative, thanks for losing my luggage
negative, what about for us that cant get to the states they are playing for the hunt any destinationdragons tickets left even just one
neutral, i m on the lol has anyone arrived yet 
neutral, left behind ipad air on flight from bradley to bwiplane had already left by the time i realized can you possibly help 
neutral, how many left i m min wway
negative, well i had a carfree place stay had i known unacceptable treatment from spvsr sally in cleveland 
neutral, i cannotyou as you do not follow me 
negative, and this asshole cut in front of me your system blows
negative, it s pretty stupid and i probably won t fly it again plus hearing nightmare stories of overbooked flights 
neutral, i m mins out wait for me
neutral, get me on flight to denver and i ll be more than happy 
neutral, will there a non stop flight from midway to boise for this summer season looking to book at labor day trip ty
negative, over minutes without talking to a human at what point would you recommend i call
neutral, can one use a companion pass wa points flight booking problems or is it only cash fares thx 
neutral, im not tho 
negative, so u guys cancelled flight #bna flightsdon t bother alert passengers what gives 
positive, thank you so so much for sending me to la fortonight is gonna rock 
positive, oh i see what you did there thanks for supporting #padresst 
positive, yeah haha never been in one it s expensiveand we will so much fun 
positive, beautiful day in seattle
positive, this has to be the best video i have seen ever #teamspirite
positive, thank you for your kind response the acknowledgement and apology go a long way #southwestrocks
negative, no thanks after those minutes someone did eventually help us and took care of it 
negative, was going for the weekend for friend s birthdayso no point in reflight booking problems 
negative, one of my bags didn t make it to my destination i have the claim ticket any way to help out with a status on the location 
neutral, when is the next flight with free cocktails 
negative, includes weather may impact scheduled service in reflight booking problems options available 
neutral, okay thank youalso i did get a tweet earlier about hrs ago saying i wonshould send abut then it was deleted 
negative, yes but not with out an attitude and nasty comment
positive, you guys rock so easyquickand affordable to change my flight #bestairlineever #neverchange 
neutral, i have a credit that expires a month before my flightis there any possible way i can have that extended 
negative, hour delay in atl due to air traffic control love missing an entire day of my vacation #unhappycustomer #mytimeismoney 
neutral, i have a question re your atl companion pass offer i know i need revenue flight roundtrips what s a revenue flight thnx
negative, # cancelled flightledhad to get refund cancelled flightlations happen but the min phone waitpainful music unacceptable come on 
neutral, how can i refer a friend for the southwest credit card for points 
neutral, i have thefrom @southwestverity if needed
neutral, hello i was talking with @southwestverity but it says you moved herethey sent me a voucher but does not work can u help 
neutral, i am following you now 
neutral, i can go i want to badly i don t know how tocan i e mail you help wmn life@hotmail com
positive, thank you for your helpshannon great customer service
negative, hours late flightbut i made it to sf maybe you can help me get on an earlier flight on sunday
negative, again another ride sw employee that printed out boarding passes deficiency in training obviously
positive, thanks lindseythe southwest twitter team for great servicea speedy resolution #luvagent #swa
negative, apparently mechanics had to be flown in to fix some planes not the most assuring sign
positive, please help we really want to fly with you #guessweflyingdelta
neutral, how oh how do we get tickets 
neutral, now accepting #apple s passbook app for boarding passes app works on #iphone#ipodtouchnot #ipad 
positive, thank you dming now 
negative, did you cancelled flight all flights into bna today #needtogethome
negative, huge problem with someone whose ticket was cancelled flighted mid trip can you
negative, flights from sunny sfo delayed for hours and others cancelled flightled left and right with little updates any help 
negative, please explain to repsignoring a technical issue and passing the buck is not a good business model lucky limited to 
negative, understood just frustratingyou buy early bird check on the day they go on sale at am and get mid b feel ripped off 
neutral, so that s what happens when your power level goes over feet in the air 
neutral, s ceo kelly draws record crowd to business partnership breakfast
negative, please start charging for carryon luggage 
positive, sea to den south sound volleyball team on its way
neutral, i will if you can see about moving up my brother in laws graduation to thethanks 
neutral, will do thank you 
neutral, if there are any imagine dragons tickets left for tomorrow at here in utah i would love to go i am available
neutral, so the fares i see for flights in fall are the absoulutely lowest they will be 
negative, no no no swa low fares and on time service is great but manufactured quirkiness mmmnot so much signed captiveaudience 
negative, will you please start offering services out of @triflight and @ashevilleair to other airports have to drive hrs to use u
negative, flying now from jax to den and i paid for wifi that barely is functional couldn t do work if i wanted to never again 
negative, flight to nashville was cancelled flightled how do we another flight i ve been trying to callcannot get a human
negative, delay is understandable but look at the time of the the flight and boarding time weird 
neutral, i willyou now
positive, already booked my tickets for august can t wait for my vacation 
negative, very frustrated bought early bird at am on day tickets were released and got mid b ticket spend for nothing
neutral, is that 
neutral, maybe it is just a machine 
negative, sowhen your plane doesn t work the luxuries i paid for go away but you keep my money i need that biz model 
negative, you will extend if i call the day it expires why can t it just be extended now #mightmismybrosgraduation
negative, y airline i fly withbut haven t seen anything like this yet 
positive, that s awesome love flying swa 
positive, that guy was the flight attendant on my last flight he was hilarious 
positive, thanks for the info and the quick response 
positive, shhhh i don t want something else to steal our deal
negative, cancelled flighting flights minutes before takeoffsitting for min on the runway of the rescheduled flight 
neutral, how do i go on the scavenger hunt if i m in boston 
neutral, hi there were flying swa today our son has a peanut allergy any way to request the crew not serve peanuts on flight thx
positive, deborah helped me 
positive, give this guy a raise great start to flight from az to mke 
negative, is not int l friendly
neutral, haha not a make or break for me either way 
negative, in horrible customer service empty seats in early flight wantcharge me double to get home early instead the usual late flight
negative, can you answer the phone so i can change my flight plans srsly 
negative, you could be a little more accommodating with extending my flight credit whats extra days #notahappytraveler
neutral, i would 
negative, if you are going to be inconsistent enforcing your rulesi d prefer you not randomly take it out on freq flyers that obey 
neutral, can you show me some luv its degrees and all this snow but imdetermined to go to 
neutral, sent
negative, what does relay concerns really meanhow why do u keep letting people on flights with bags larger than u state are allowabl 
neutral, what number can we use to all from outside the us thx
negative, how long does it take for points from rr shopping to post to my account got email saying i ve earned points but don t see em
neutral, thanks i know the routes you currently have from newark i was just wondering if there was any new ones on the horizon
positive, oh my gosh going toyou now thank you 
positive, thank you so much youre amazing im going to cry omg
negative, if you could get me on the flight my has been delayed until 
negative, couldn t make flightfunds forfeited as a no show was trying to book another flight using those fundsi m out 
neutral, i dmed you
neutral, when is the last chance to win #destinationdragon 
negative, make this delay go away maybe upgrade me and kats seats we are headed to columbus 
neutral, i have a flight @ am from fort lauderdale to bwi can i cancelled flight that flight flight trip i d 
neutral, do you know when the last chance is 
neutral, larry david works for southwest 
